movie_name;popularity 
The Irishman (2019)            ;5
The Knight Before Christmas (2019)            ;25
A Beautiful Day in the Neighborhood (2019)            ;17
Joker (2019)            ;3
Last Christmas (2019)            ;14
The Knight Before Christmas (2019)            ;25
The Irishman (2019)            ;5
A Beautiful Day in the Neighborhood (2019)            ;17
Joker (2019)            ;3
Last Christmas (2019)            ;14
Klaus (2019)            ;8
It Chapter Two (2019)            ;23
Star Wars: Episode IX - The Rise of Skywalker (2019)            ;11
Frozen II (2019)            ;4
Honey Boy (2019)            ;38
Klaus (2019)            ;8
It Chapter Two (2019)            ;23
Star Wars: Episode IX - The Rise of Skywalker (2019)            ;11
Frozen II (2019)            ;4
Honey Boy (2019)            ;38
Gisaengchung (2019)            ;16
The King (2019)            ;15
Charlie's Angels (2019)            ;2
Knives Out (2019)            ;12
1917 (2019)            ;128
Gisaengchung (2019)            ;16
The King (2019)            ;15
Charlie's Angels (2019)            ;2
Knives Out (2019)            ;12
1917 (2019)            ;128
Midway (2019)            ;9
Angel Has Fallen (2019)            ;22
Ready or Not (2019)            ;24
Once Upon a Time... in Hollywood (2019)            ;10
21 Bridges (2019)            ;32
Midway (2019)            ;9
Angel Has Fallen (2019)            ;22
Ready or Not (2019)            ;24
21 Bridges (2019)            ;32
Blue Story (2019)            ;
Once Upon a Time... in Hollywood (2019)            ;10
Doctor Sleep (2019)            ;7
Hustlers (2019)            ;44
Blue Story (2019)            ;
Doctor Sleep (2019)            ;7
Frozen (2013)            ;31
Ford v Ferrari (2019)            ;1
Hustlers (2019)            ;44
Frozen (2013)            ;31
Ford v Ferrari (2019)            ;1
Rambo: Last Blood (2019)            ;55
The Lion King (2019)            ;28
Jojo Rabbit (2019)            ;30
Richard Jewell (2019)            ;56
Us (2019)            ;178
Rambo: Last Blood (2019)            ;55
The Lion King (2019)            ;28
Jojo Rabbit (2019)            ;30
Richard Jewell (2019)            ;56
Us (2019)            ;178
Cats (2019)            ;6
The Lighthouse (2019)            ;26
Little Women (2019)            ;79
Cats (2019)            ;6
Noelle (2019)            ;51
The Lighthouse (2019)            ;26
Little Women (2019)            ;79
Star Wars: Episode VIII - The Last Jedi (2017)            ;76
Noelle (2019)            ;51
Gemini Man (2019)            ;21
Jumanji: The Next Level (2019)            ;40
Queen & Slim (2019)            ;72
Star Wars: Episode VIII - The Last Jedi (2017)            ;76
The Report (2019)            ;167
Gemini Man (2019)            ;21
Jumanji: The Next Level (2019)            ;40
Queen & Slim (2019)            ;72
The Peanut Butter Falcon (2019)            ;36
The Report (2019)            ;167
Antebellum (2020)            ;27
Lady and the Tramp (2019)            ;19
The Peanut Butter Falcon (2019)            ;36
Antebellum (2020)            ;27
Lady and the Tramp (2019)            ;19
Avengers: Endgame (2019)            ;
Captain Marvel (2019)            ;53
Marriage Story (2019)            ;54
No Time to Die (2020)            ;57
Home Alone (1990)            ;78
Marriage Story (2019)            ;54
Captain Marvel (2019)            ;53
Avengers: Endgame (2019)            ;
No Time to Die (2020)            ;57
Home Alone (1990)            ;78
Let It Snow (2019)            ;33
The Good Liar (2019)            ;35
Midsommar (2019)            ;42
Fast & Furious Presents: Hobbs & Shaw (2019)            ;41
Terminator: Dark Fate (2019)            ;20
Let It Snow (2019)            ;33
The Good Liar (2019)            ;35
Midsommar (2019)            ;42
Fast & Furious Presents: Hobbs & Shaw (2019)            ;41
Terminator: Dark Fate (2019)            ;20
The Godfather (1972)            ;96
The Courier (2019)            ;520
Dark Waters (2019)            ;70
Good Boys (2019)            ;37
Spider-Man: Far from Home (2019)            ;60
The Godfather (1972)            ;96
The Courier (2019)            ;520
Dark Waters (2019)            ;70
Good Boys (2019)            ;37
The Golden Compass (2007)            ;86
Spider-Man: Far from Home (2019)            ;60
Booksmart (2019)            ;48
Goodfellas (1990)            ;80
It (2017)            ;87
The Golden Compass (2007)            ;86
Jumanji: Welcome to the Jungle (2017)            ;69
Goodfellas (1990)            ;80
Booksmart (2019)            ;48
It (2017)            ;87
Black Widow (2020)            ;66
Jumanji: Welcome to the Jungle (2017)            ;69
Downton Abbey (2019)            ;142
Star Wars: Episode I - The Phantom Menace (1999)            ;
Black Widow (2020)            ;66
Toy Story 4 (2019)            ;63
Downton Abbey (2019)            ;142
Yesterday (2019)            ;67
Star Wars: Episode I - The Phantom Menace (1999)            ;
Brittany Runs a Marathon (2019)            ;106
Toy Story 4 (2019)            ;63
National Lampoon's Christmas Vacation (1989)            ;260
Yesterday (2019)            ;67
Watchmen (2009)            ;46
Brittany Runs a Marathon (2019)            ;106
Dora and the Lost City of Gold (2019)            ;52
National Lampoon's Christmas Vacation (1989)            ;260
Maleficent: Mistress of Evil (2019)            ;45
Watchmen (2009)            ;46
Bombshell (2019)            ;120
Dora and the Lost City of Gold (2019)            ;52
Maleficent: Mistress of Evil (2019)            ;45
The Dark Knight (2008)            ;58
Earthquake Bird (2019)            ;18
Bombshell (2019)            ;120
Harry Potter and the Sorcerer's Stone (2001)            ;103
Home Alone 2: Lost in New York (1992)            ;189
Earthquake Bird (2019)            ;18
The Grinch (2018)            ;146
The Dark Knight (2008)            ;58
Harry Potter and the Sorcerer's Stone (2001)            ;103
Home Alone 2: Lost in New York (1992)            ;189
The Grinch (2018)            ;146
Abominable (2019)            ;544
Love Actually (2003)            ;111
The Batman (2021)            ;
The Laundromat (2019)            ;64
Love Actually (2003)            ;111
Abominable (2019)            ;544
